type	time	latitude	longitude	altitude (m)	name
T	2008-10-23 10:33:20	40.008842000	116.322298000	26.5	
T	2008-10-23 10:44:31	40.008761000	116.323722000	114.9	
T	2008-10-23 10:44:36	40.008765000	116.323690000	117.0	
T	2008-10-23 10:44:41	40.008650000	116.323112000	104.5	
T	2008-10-23 10:44:46	40.008786000	116.322741000	82.9	
T	2008-10-23 10:44:51	40.008889000	116.322551000	77.7	
T	2008-10-23 10:44:56	40.008962000	116.322462000	80.8	
T	2008-10-23 10:45:01	40.008988000	116.322356000	86.0	
T	2008-10-23 10:45:06	40.009068000	116.322259000	91.7	
T	2008-10-23 10:45:11	40.009107000	116.322177000	97.2	
T	2008-10-23 10:45:16	40.009086000	116.322088000	100.3	
T	2008-10-23 10:45:21	40.008929000	116.321992000	96.6	
T	2008-10-23 10:45:26	40.008849000	116.321910000	94.8	
T	2008-10-23 10:45:31	40.008799000	116.321850000	93.6	
T	2008-10-23 10:45:36	40.008827000	116.321784000	91.1	
T	2008-10-23 10:45:41	40.008862000	116.321736000	89.0	
T	2008-10-23 10:45:46	40.008898000	116.321695000	88.4	
T	2008-10-23 10:45:51	40.008901000	116.321684000	89.0	
T	2008-10-23 10:45:56	40.008905000	116.321683000	89.9	
T	2008-10-23 10:45:59	40.008905000	116.321683000	89.9	
T	2008-10-23 10:46:01	40.008905000	116.321682000	90.2	
T	2008-10-23 10:46:06	40.008934000	116.321623000	83.8	
T	2008-10-23 10:46:11	40.008945000	116.321551000	82.0	
T	2008-10-23 11:08:22	40.008851000	116.321485000	28.7	
T	2008-10-23 11:09:22	40.008607000	116.321862000	-108.2	
T	2008-10-23 11:09:27	40.008652000	116.322251000	-124.1	
T	2008-10-23 11:10:27	40.008897000	116.321603000	-16.5	
T	2008-10-23 11:10:32	40.008928000	116.321610000	-6.4	
T	2008-10-23 11:10:37	40.009013000	116.321431000	28.0	
T	2008-10-23 11:10:42	40.009027000	116.321399000	28.3	
T	2008-10-23 11:10:47	40.009064000	116.321326000	27.4	
T	2008-10-23 11:10:52	40.009172000	116.321211000	26.8	
T	2008-10-23 11:10:57	40.009204000	116.321130000	26.2	
T	2008-10-23 11:11:02	40.009243000	116.321050000	25.9	
T	2008-10-23 11:11:07	40.009269000	116.320978000	25.6	
T	2008-10-23 11:11:12	40.009328000	116.320887000	25.3	
